Name	Corona Temp. (K)	Wind Speed (km/s)
HD 4732 c	3254311.0	1077.0
HD 99109 b	3812691.0	937.0
HD 2638 b	1780652.0	452.0
TOI-1416 b	1019145.0	216.0
HD 105779 b	983778.0	1047.0
HD 28254 b	1200853.0	1016.0
HD 217786 b	1036523.0	1016.0
HD 217786 c	1036523.0	439.0
HD 103891 b	1719471.0	1044.0
HD 30177 b	2100477.0	1053.0
HD 30177 c	759191.0	1145.0
HD 25171 b	1386902.0	1035.0
HD 159868 b	1049898.0	1011.0
HD 159868 c	1049898.0	930.0
HD 221585 b	1196555.0	1011.0
HD 109271 b	1043882.0	592.0
HD 109271 c	1043882.0	732.0
HD 221287 b	3469696.0	950.0
xi Aql b	1201982.0	875.0
HD 103774 b	4063808.0	570.0
HD 135625 b	1526280.0	1089.0
HD 156411 b	1546478.0	991.0
HD 103197 b	847772.0	764.0
HD 183579 b	2079130.0	676.0
HD 89839 b	2990643.0	1078.0
TOI-444 b	5855548.0	676.0
HD 165131 b	2037910.0	1051.0
HD 5278 b	1921886.0	661.0
HD 5278 c	1921886.0	760.0
HD 74156 b	1658623.0	779.0
HD 74156 c	1658623.0	1054.0
HD 125612 b	2716363.0	957.0
HD 125612 c	2716363.0	508.0
HD 125612 d	2716363.0	1062.0
HD 94771 b	1262349.0	1049.0
HD 30669 b	1340141.0	1025.0
HD 5608 b	2881483.0	986.0
HD 31253 b	2096549.0	950.0
TOI-1130 b	876193.0	474.0
TOI-1130 c	876193.0	572.0
TOI-712 b	4314374.0	592.0
TOI-712 c	4314374.0	761.0
TOI-712 d	4314374.0	803.0
HD 233832 b	1169595.0	1030.0
HD 207832 b	3257416.0	868.0
HD 207832 c	3193033.0	1002.0
HD 70573 b	18214054.0	984.0
K2-136 b	5128279.0	572.0
K2-136 c	5128279.0	658.0
K2-136 d	5128279.0	697.0
HD 108874 b	993885.0	930.0
HD 108874 c	960263.0	1024.0
HD 16175 b	1949722.0	1002.0
HD 170469 b	1116483.0	1008.0
TOI-1728 b	955987.0	446.0
HD 184010 b	2109675.0	920.0
HD 184010 c	2109675.0	956.0
HD 184010 d	2109675.0	993.0
HD 68988 b	1243541.0	570.0
HD 68988 c	1778858.0	1166.0
HD 76700 b	787675.0	503.0
TOI-1075 b	1053940.0	216.0
HIP 65 A b	1441146.0	216.0
K2-141 b	1055921.0	215.0
K2-141 c	1055921.0	565.0
TOI-122 b	2018287.0	447.0
HIP 116454 b	2351310.0	589.0
DMPP-1 b	2558527.0	690.0
DMPP-1 c	2558527.0	578.0
DMPP-1 d	2558527.0	465.0
DMPP-1 e	2558527.0	556.0
TOI-178 b	955987.0	308.0
TOI-178 c	955987.0	432.0
TOI-178 d	955987.0	538.0
TOI-178 e	955987.0	590.0
TOI-178 f	955987.0	638.0
TOI-178 g	955987.0	670.0
HD 177830 b	1628515.0	940.0
HD 177830 c	1574644.0	853.0
HD 22946 d	2163600.0	786.0
TOI-411 b	2163600.0	531.0
TOI-411 c	2163600.0	634.0
HD 154672 b	1010748.0	870.0
HD 109749 b	1801872.0	546.0
HD 165155 b	793495.0	939.0
HD 154857 b	1435291.0	953.0
HD 154857 c	1389525.0	1088.0
HD 20329 b	769596.0	216.0
Kepler-37 b	952797.0	634.0
Kepler-37 c	952797.0	683.0
Kepler-37 d	952797.0	742.0
TOI-824 b	938999.0	216.0
2MASS J12073346-3932539 b	33613730.0	1278.0
HD 220197 b	812396.0	1027.0
HD 108236 b	1058755.0	481.0
HD 108236 c	1058755.0	547.0
HD 108236 d	1058755.0	643.0
HD 108236 e	1058755.0	680.0
HD 108236 f	1058755.0	716.0
WASP-107 b	1594923.0	523.0
TOI-1696 b	798434.0	216.0
K2-288 B b	3343746.0	707.0
HD 191806 b	1944845.0	1027.0
HIP 97166 b	1709399.0	612.0
HIP 97166 c	1709399.0	665.0
HD 80606 b	1226635.0	839.0
Kepler-138 b	1223839.0	583.0
Kepler-138 c	1223839.0	616.0
Kepler-138 d	1223839.0	671.0
Kepler-138 e	1223839.0	720.0
K2-233 b	7791906.0	400.0
K2-233 c	7791906.0	561.0
K2-233 d	7791906.0	696.0
HD 163607 b	952235.0	811.0
HD 163607 c	952235.0	1014.0
HD 86264 b	2395700.0	1028.0
HD 11977 b	3973803.0	993.0
TOI-1064 b	817637.0	546.0
TOI-1064 c	817637.0	622.0
HD 66141 b	1101387.0	945.0
Kepler-409 b	1177455.0	795.0
HIP 29442 b	737341.0	642.0
HIP 29442 c	737341.0	473.0
HIP 29442 d	737341.0	556.0
HD 143361 b	1888260.0	996.0
TOI-4184 b	800557.0	404.0
2MASS J22362452+4751425 b	15422743.0	1380.0
HD 179079 b	1094885.0	662.0
HD 72892 b	974055.0	752.0
eps CrB b	3020163.0	954.0
HD 132406 b	1049969.0	996.0
HAT-P-20 b	1027897.0	425.0
HD 148427 b	2349298.0	930.0
HD 192699 b	2830682.0	933.0
24 Sex b	2201495.0	956.0
24 Sex c	2201495.0	1001.0
HD 95872 b	772577.0	1085.0
HD 200964 b	2006980.0	972.0
HD 200964 c	2006980.0	995.0
HD 126614 b	1031910.0	1008.0
HD 219828 b	1228263.0	499.0
HD 219828 c	1228263.0	1093.0
HD 149143 b	1532662.0	516.0
HD 159243 b	3493384.0	647.0
HD 159243 c	3493384.0	902.0
4 UMa b	1467904.0	912.0
TOI-1260 b	1003713.0	429.0
TOI-1260 c	1003713.0	558.0
TOI-1260 d	1003713.0	649.0
HD 88133 b	1332849.0	494.0
TOI-421 b	841516.0	527.0
TOI-421 c	841516.0	659.0
Kepler-16 b	1481560.0	889.0
