Names,x,y_mag,y_kin,y_both,d,s,l_mag,l_kin,l_both,y_err_min,y_err_max,x_err_min,x_err_max,Color
HD 109271 b,4.5195808604425896,5.454892889567001e-05,2.7693063407933134e-05,4.178477377007909e-05,2.7503210078233553,-1.096524015217023,,,,2.371939047688746e-05,4.539152195957104e-05,3.0001405487775568,9.24140562971387,black
HD 63433 b,11.676979405901214,6.452463017815165e-05,0.0005117504092812125,0.00029350214270943103,6.858965573267719,-1.1706247583369471,,,,0.00013412971166399762,0.0003215646826340388,3.3575241689997437,4.567117958342028,black
CoRoT-16 b,0.6742046737150945,1.435615564891434e-05,3.535644457847418e-06,9.129963346942833e-06,0.20980740982252177,-1.2220389753005798,,,,4.1391022258826005e-06,6.7214142849522085e-06,0.33511010680179854,0.8588963983671102,black
HD 49674 b,2.2285535573555446,0.0006052574367871625,0.0003174237752121914,0.00046899800986624127,3.570287924012448,-1.2218487496163564,,,,0.00027520258207288425,0.00046780163865090896,1.4281141799160069,6.177935248774439,black
HIP 91258 b,4.341189741531449,0.0011397779677049273,0.0015529429854713927,0.0014853243990296135,3.348941370758454,-1.2218487496163564,,,,0.000895031895936806,0.002102351404969627,2.897043461246175,9.39575533122455,black
HD 63433 d,23.16311719736646,2.010381121141875e-05,0.0001280924775093685,7.87464894620851e-05,6.858965573267719,-1.3070235474495966,,,,3.808998222529219e-05,8.918485285029507e-05,6.638379020817087,7.756404646240075,black
61 Vir b,15.027351060140138,0.0010050542445302752,0.00025288960502518204,0.0006361714532465191,18.071157526789932,-1.2992926220961138,,,,0.0003149785899233167,0.000563669282251903,6.726329354948728,12.637783898559412,black
Kepler-77 b,1.7421660997732298,1.9740480370488346e-05,2.9229081963163525e-06,1.1246010365401836e-05,0.24032247681178984,-1.3547221454436043,,,,2.4853607699671306e-06,3.5714455910196386e-06,0.3194873269079832,0.36733106631495094,black
NGTS-18 b,0.4865727593986867,2.6784858881162324e-05,9.003637593639447e-07,1.3875466759439024e-05,0.14018084020170166,-1.337630483428492,,,,7.846731086248797e-06,1.671150051250457e-05,0.21683107841061183,0.6555529325978439,black
HAT-P-22 b,31.140760654878548,0.001024964891206159,5.5351063418572754e-05,0.0005426529559880647,1.8793542350268924,-1.3875335438700083,,,,0.0002100927568176867,0.00035222472794952395,7.453850156657833,2.4132149349429426,black
WASP-135 b,18.274575198506863,0.0045198309120169575,8.494018257205753e-05,0.0023300811255465093,0.5152837734670517,-1.5990264565538836,,,,0.0009578953473512173,0.0017302296154321798,6.163614131893782,10.154315488510672,black
HAT-P-36 b,19.807853929135774,0.0013797439087689,1.3901109377402053e-05,0.0006965298051332396,0.5219256747040897,-1.6147407877774507,,,,0.00018411947150023334,0.00032172544660433525,2.681466406718986,3.089973360986175,black
EPIC 220674823 b,152.76022455828772,0.00010516459926586931,1.9214003425221665e-07,5.267245478763331e-05,0.628254774196424,-1.8782624242931303,,,,1.7199033969884003e-05,3.897412357629015e-05,9.110171922076375,8.318812606879476,black
HD 68402 b,0.5958868566286557,8.937285494519475e-07,2.3366425685872666e-05,1.2624277872695946e-05,1.9592784229962956,0.34321894841173656,,,,1.0111335177563817e-05,3.346933489726988e-05,0.5651263741918592,47.40070907859923,black
HD 48265 b,0.4067925507617533,6.147792395253656e-06,1.951886882580634e-05,1.3126226978943347e-05,1.6971176107763837,0.25791574322506994,,,,1.0206401162319353e-05,2.471022130085473e-05,0.3816266509878867,28.48456109690716,black
HD 106270 b,0.36660920143177966,7.60909262624952e-06,7.84641586589846e-06,8.364261675657725e-06,1.6380781513378746,0.5240850611402464,,,,6.6844983429002235e-06,2.001450339236712e-05,0.35143315543485626,35.90115589923012,black
HD 170469 b,0.1349661916140037,1.0118683152469086e-06,3.3289989693854524e-05,1.721714298050033e-05,2.553505188286473,0.35021596981188086,,,,1.304642180709642e-05,2.737016881648948e-05,0.12293776218634474,7.022911837997041,black
HD 16141 b,0.5684702924937075,6.086052690899867e-06,0.00020115246037918233,0.00010393534543750026,4.066702708686617,-0.45487927177142246,,,,7.548244458565839e-05,0.0001464784086556232,0.5028036066272863,22.21687520310124,black
HD 179079 b,3.7355118198900024,1.0524921043003065e-05,1.819471152296986e-05,1.5008667684307382e-05,2.2042936214446858,-0.9346691907412585,,,,1.1379408622049868e-05,2.5021886810111615e-05,3.4646749022913235,202.74509921295535,black
HD 1397 b,2.1062068807082643,0.00032705929545017077,8.906625403973378e-05,0.00021124859990841166,1.9311857356234288,-0.9587532474569505,,,,0.00013766802201046257,0.00019980615801333047,1.809960576620015,40.997970092841,black
HD 75784 c,0.16839415839853503,5.507281412900908e-06,3.5536774091041936e-06,4.976530346048031e-06,1.7986779585273376,0.7810710449390741,,,,4.091532678655808e-06,1.3518237257319773e-05,0.1622672890802746,21.624962624320066,black
HD 4203 c,0.15068395898961617,1.3493813169190285e-07,3.651296821149908e-06,1.9098528434570906e-06,1.8882499305193983,0.9014827329209355,,,,1.5470696688339497e-06,4.810898351892927e-06,0.14510865065916514,19.153853101237605,black
HD 73534 b,0.1815968938430824,4.967055826659321e-06,1.0750583548451353e-05,8.629954862146734e-06,1.8440053139270862,0.49538546305655173,,,,6.791630395661326e-06,1.75780199806565e-05,0.17104146412494814,13.525420567808801,black
HD 79498 b,0.39021946320828216,2.8944734467177236e-06,6.109263286215006e-05,3.27868305709028e-05,3.139290877235308,0.48607543773404227,,,,2.535944689092054e-05,7.231123921661319e-05,0.36993613107244067,21.283963025069493,black
HD 108874 c,0.17689457342653184,2.978366067260756e-07,2.2830777539617727e-05,1.1629055575228784e-05,2.5818429070559645,0.42352648303182006,,,,9.204721685686551e-06,2.348368704570671e-05,0.1662714470304807,14.738091909808217,black
HD 163607 c,0.28297032450864307,1.1223451166253577e-06,1.4812204050795564e-05,8.148249967140632e-06,2.2669278123006156,0.39588074631953396,,,,6.415773272705824e-06,1.681009076762006e-05,0.26985618470421974,25.55875669775724,black
HD 98736 b,0.3850734114862972,7.987220575598742e-07,9.238208360342855e-05,4.6752311299987065e-05,4.736032448497448,0.28634957590218846,,,,3.669142486341959e-05,0.00010454058551454017,0.3659785413411869,30.974549764007175,black
HD 4113 b,0.41427267904581183,1.9707606242532105e-06,9.321704378179163e-05,4.797587987729723e-05,3.6698095709305427,0.10579770566013386,,,,3.718137864050755e-05,8.996357240670239e-05,0.3895468356592955,30.926139261967347,black
HD 4313 b,0.8712545077239833,0.000573676861698219,1.1131681243079925e-05,0.000294584835847946,1.1273354111329001,0.10750812459458757,,,,0.00023677458800912523,0.000728068185532891,0.8068673138205905,53.37513968371624,black
HD 11755 b,0.4919606232457312,0.0003034991641727361,2.1563020321970507e-07,0.0001519825442509993,0.6537677262681757,0.007471301111822802,,,,0.00011933895768992789,0.0003334534275866166,0.46650238524036564,38.69026462585537,black
HD 164509 b,0.4050088946250856,2.175647268382753e-05,0.00023914767482574828,0.00013761521686703686,2.8932279813131028,-0.0698769027617043,,,,0.00010004614927462056,0.00021515264651438004,0.3541926265767089,9.824276792562207,black
TOI-2180 b,0.7818519943836957,7.626878316851198e-07,9.838385351646222e-06,5.3511864025951416e-06,1.3169202144294756,-0.10197970859687418,,,,4.111315464195918e-06,9.030012892648622e-06,0.7404290956541301,63.49988329514985,black
BD+15 2375 b,0.5570612923446957,7.78976229221868e-06,1.1750353563882797e-07,3.967048759942966e-06,0.20007269785065115,-0.2351473788937526,,,,3.2274537018176677e-06,1.3806222790713185e-05,0.509128629771232,25.458656226186616,black
HIP 14810 c,0.7478359320247334,3.1206639913454996e-06,0.00015398433801071674,7.963021920808759e-05,3.044073597874472,-0.257386834990401,,,,6.069712144838696e-05,0.00014113535186497804,0.6861743892842828,33.86262192498033,black
HD 80606 b,1.1170756668145407,1.2508378518201464e-06,8.02739287978909e-05,4.0811084986134374e-05,2.3117540588421637,-0.34611159364636446,,,,3.172971003286213e-05,6.182637889541598e-05,1.0408296421895502,95.40602291937296,black
HD 163607 b,0.5330333778909132,3.1287473607889706e-06,8.953917211687525e-05,4.701583235839322e-05,2.2669278123006156,-0.4393521883228079,,,,3.4031935960841125e-05,6.951698536751655e-05,0.4734197259554543,19.456565178551717,black
HD 89345 b,2.0363857698397916,2.153308609801366e-05,1.1662289793585766e-05,1.675887011583206e-05,1.1610928650172152,-0.97171392988572,,,,1.1137509578528293e-05,1.8393780359361163e-05,1.8077764792046103,51.543187383200404,black
HAT-P-15 b,16.448536988942976,3.896650435382622e-06,1.3528617284669684e-05,8.879513808211114e-06,0.79819254098726,-1.0104146991772511,,,,2.347414819762158e-06,3.2093516427319286e-06,1.2930044583412457,0.965827752615148,black
HD 102956 b,2.6233142087218497,0.008954635733652872,4.4090960078761934e-05,0.0044997480637834035,1.26068451243501,-1.0586978762103856,,,,0.0031399352535744452,0.008292913580632019,1.6910500297591151,6.969226472340873,black
HD 168746 b,0.554664324649689,0.001195174303147311,0.0006847803166074696,0.0009703810344421735,3.6967009610904364,-1.154901959985743,,,,0.0005515552080635911,0.0007272351363862021,0.3113215447724964,1.2936276260092887,black
HIP 14810 b,26.569983843042888,0.0003580425569343772,0.0002718050650586535,0.0003294004351887032,3.044073597874472,-1.166048859791844,,,,0.0001445077865269172,0.00025372828941629924,2.906907551376637,2.5654875256999397,black
CoRoT-26 b,0.3802835428257497,5.449012247924734e-05,1.1856917763315911e-06,2.7867662667196648e-05,0.1470223647799454,-1.283795232465934,,,,9.145409922197401e-06,1.1540506728217896e-05,0.12021488010687298,0.23764113673973042,black
HAT-P-38 b,1.243379899235597,2.9886787837312093e-05,1.1640379721445267e-05,2.1888048658482484e-05,0.6021207778057858,-1.2741378784394155,,,,1.0525237298488918e-05,2.0508186777318795e-05,0.5355016994029628,1.0428649835528145,black
HD 88133 b,3.4052158242903894,0.020600271261615344,0.00014323709102334953,0.010378993796878263,2.087488574880874,-1.3716819476535573,,,,0.006883600745991323,0.016304889143642795,2.4686974437687774,11.01116317051773,black
HAT-P-25 b,1.090384902486396,0.00016939149893848256,4.129372620960477e-05,0.00010647732443952806,0.5115613189141344,-1.3202294018803349,,,,3.434371258858125e-05,5.073278962638349e-05,0.24968498293543862,0.3497245746637949,black
WASP-182 b,0.3100761524629703,0.00024762230777590423,8.873323387503968e-06,0.00012819176888805795,0.46905951496237325,-1.3254478660542466,,,,2.8383160000804614e-05,3.0102665879085436e-05,0.057985965896461655,0.07638353035790196,black
WASP-123 b,1.4376612260135926,0.001437823993576002,4.990580013217569e-05,0.0007438219266702045,0.7761007051693132,-1.3611147615644534,,,,0.00019442784825679732,0.00026734674694113255,0.37943919469490894,0.5340482055512146,black
