Name	Corona Temp. (K)	Wind Speed (km/s)
HD 87883 b	958111.0	406.0
HD 37605 c	1206803.0	455.0
HD 12661 c	1132248.0	421.0
HD 142245 b	2948381.0	658.0
HD 191806 b	1944845.0	580.0
HD 131496 b	2137841.0	581.0
HD 99706 b	2578562.0	644.0
HD 128311 c	3979527.0	871.0
HD 42012 b	1459433.0	475.0
HD 152581 b	798537.0	307.0
HD 116029 b	1942429.0	565.0
HD 38801 b	1217086.0	405.0
HD 158038 b	2237884.0	580.0
HD 40956 b	3703951.0	746.0
HD 108863 b	2911967.0	656.0
HD 24064 b	1013259.0	334.0
HD 95127 b	1728536.0	415.0
HD 1502 b	2356223.0	579.0
HD 114783 b	1134922.0	388.0
HD 177830 b	1628515.0	443.0
HD 19615 b	1116483.0	368.0
HD 128311 b	3979527.0	833.0
HD 12661 b	1175332.0	361.0
HD 145457 b	2359854.0	522.0
HD 216536 b	1529422.0	433.0
BD+15 2940 b	1074703.0	320.0
HD 177830 c	1574644.0	391.0
8 UMi b	2967745.0	591.0
HD 37605 b	1206803.0	315.0
WASP-162 b	701047.0	140.0
WASP-84 b	2322034.0	387.0
WASP-139 b	6365981.0	750.0
WASP-140 b	6343961.0	652.0
WASP-84 c	2322034.0	254.0
TOI-969 c	2312435.0	661.0
TOI-4010 e	1130073.0	400.0
TOI-1246 e	1108409.0	282.0
TOI-1246 d	1108409.0	250.0
TOI-4010 d	1130073.0	243.0
TOI-836 c	1161011.0	237.0
TOI-1246 c	1108409.0	190.0
TOI-4010 c	1130073.0	190.0
TOI-1246 b	1103185.0	172.0
TOI-836 b	1161011.0	190.0
TOI-969 b	2312435.0	285.0
TOI-4010 b	1130073.0	105.0
Kepler-1661 b	2395411.0	575.0
NGTS-11 b	1521632.0	353.0
TOI-2076 d	1953879.0	420.0
Kepler-158 c	612248.0	180.0
TOI-2076 c	1953879.0	392.0
TOI-178 g	955987.0	241.0
Kepler-158 b	612248.0	160.0
TOI-178 f	955987.0	227.0
Kepler-444 f	728869.0	156.0
TOI-178 e	955987.0	207.0
Kepler-444 e	728869.0	145.0
TOI-2076 b	8270629.0	918.0
Kepler-444 d	728869.0	135.0
TOI-178 d	955987.0	187.0
TOI-181 b	1208612.0	202.0
Gl 410 b	6055539.0	774.0
Kepler-444 c	728869.0	120.0
Kepler-444 b	728869.0	108.0
TOI-178 c	955987.0	150.0
HAT-P-68 b	715867.0	89.0
TOI-178 b	955987.0	120.0
HATS-2 b	1017937.0	94.0
Kepler-421 b	1470897.0	463.0
HD 11964 b	996649.0	400.0
HD 216770 b	1727625.0	455.0
HD 11964 c	996649.0	264.0
HD 191939 f	875849.0	381.0
HD 30669 b	1340141.0	470.0
HD 164922 b	847999.0	346.0
HD 147018 c	1111698.0	403.0
HD 63765 b	1252808.0	416.0
HD 191939 g	875849.0	315.0
TOI-199 c	4611344.0	873.0
TOI-199 b	4611344.0	812.0
HD 191939 e	875849.0	280.0
HD 164922 c	847999.0	256.0
K2-263 b	1030925.0	281.0
