Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HAT-P-16 b,00:38:18,+42:27:47,36.42241023643042,0.0004704833721617882,2.6877717945579036,2.537409566854585,0.00011316179344003592,0.00016314765407959592
HD 7924 c,01:21:59,+76:42:37,17.326810508510942,0.0004661311079934103,16.20280735932855,1317.9991316746675,0.0003700702562844039,0.0009241967628609295
LHS 3154 b,16:06:33,+40:54:25,10.367871541944842,0.00046514608286545825,6.7858077452592145,13.299496393592507,0.00026930126317202595,0.0007002581619781991
LTT 3780 b,10:18:35,-11:43:04,60.30892747876443,0.00046380999413162536,10.244944063292223,12.079458323882776,0.00019347378783556805,0.0005717720332781704
GJ 486 b,12:47:56,+09:44:58,59.77220102867758,0.00045848464730065757,3.1195329816870867,3.518874460312759,0.00016978775302093165,0.0005198690786980429
K2-284 b,05:16:34,+20:15:18,12.281669602493402,0.00045836420640117713,4.345922275772469,9.676622112803763,0.000270675355408775,0.0011303140908471736
HD 3167 b,00:34:58,+04:22:51,66.86187986248152,0.0004427713550181619,15.802783313371492,20.19620105237277,0.00016923180928556043,0.00039334117137726195
KOI-7368 b,19:35:47,+48:03:55,11.391258728663708,0.00041214685088792734,3.361757651530084,5.304487566725985,0.0002487236113353339,0.0007546315657618193
TOI-1410.01,22:19:32,+42:33:37,24.260052105690928,0.00039502893892588226,6.144036269247572,13.030766869536887,0.0001668247955324376,0.0004668482831597193
HD 93963 A b,10:51:06,+25:38:28,48.29018276422609,0.0003888877090619151,30.989000430838846,42.57649514122316,0.00015927720676048356,0.00036909438985631367
HIP 14810 b,03:11:14,+21:05:50,26.523366806932586,0.00038561933757288015,2.910181954170607,2.591937216175044,0.00017833083770486946,0.00032257787370171005
XO-3 b,04:21:53,+57:49:02,62.20049974311317,0.0003807621979213938,3.5172852344135848,3.3369607222993096,9.013471631425142e-05,0.00011684002222609152
WASP-59 b,23:18:30,+24:53:21,21.176136435510138,0.0003796035308431888,3.868596780263257,3.011962741113347,0.0001980450186347199,0.0008531790560826102
HD 217786 c,23:03:08,-00:25:49,17.1937437397374,0.00036703469404806557,8.559316005483973,16.35559687931667,0.00018393843905984187,0.00035680371590508266
TOI-451 b,04:11:52,-37:56:23,25.32205632179325,0.0003614116599642978,7.346948713394383,10.010273769233041,0.00025266380493653873,0.0008323554987174499
Ross 128 b,11:47:45,+00:47:57,16.152993290234065,0.0003344964281063692,7.230588756482925,11.838676200681345,0.00016099600861789568,0.0002746447342712876
GJ 1061 b,03:36:01,-44:30:52,27.822867446232287,0.0003211029485709655,11.997108609859293,21.24476087770139,0.0001540696778206461,0.00024562339330465706
GJ 581 e,15:19:26,-07:43:22,24.790067319192527,0.00031983051853872715,11.58981543341746,21.456960635614696,0.00015435870902760505,0.0002507839938209975
Kepler-63 b,19:16:54,+49:32:54,20.197110317447233,0.00031284114556863154,4.364493077994892,3.0163114706999288,0.00017031921955698923,0.00046015920740333666
HD 63433 d,07:49:55,+27:21:47,23.285228183611146,0.0002888450639634987,6.571970604130115,7.963355386388507,0.00015769247787847387,0.0003552153032056628
KELT-24 b,10:47:38,+71:39:21,32.7468731364784,0.0002837551903167462,0.8252098222771131,0.8116376773525928,4.787267316222097e-05,6.0414107182718384e-05
HD 7924 d,01:21:59,+76:42:37,17.92489937289397,0.00027814877396808145,16.999031298584597,1665.3387621129903,0.00022326794757828385,0.0005821303947180151
Qatar-9 b,10:43:00,+60:57:51,30.08440975964517,0.00027639612485546704,8.790776899936237,7.276897883834778,9.875606662847677e-05,0.00024006182759814807
Gl 725 A b,18:42:44,+59:38:17,14.48691055147141,0.0002689739143999262,6.339124932722367,9.73815758773695,0.00013778128565247163,0.00025857673099858545
TOI-1801 b,11:42:18,+23:01:37,10.4699240027003,0.00026603041038645024,3.631473495670754,4.797102656874751,0.00011129151911900748,0.00021495077253342676
TOI-1107 b,10:22:26,-82:13:08,26.588210805068044,0.0002601196465745918,1.6416039368452289,1.521905142998424,5.691847316825145e-05,6.874798081465857e-05
TOI-628 b,06:37:03,+01:46:03,54.30736090777117,0.00025861903445199597,3.0925078480744688,2.7852254286818194,6.972677079024629e-05,9.139002399661405e-05
TOI-1416 b,14:27:42,+41:57:11,38.71195306575305,0.0002562432433041347,8.80382870762049,11.12032796994069,5.5067017780162115e-05,6.695266847481376e-05
HAT-P-20 b,07:27:40,+24:20:10,85.5359088599569,0.00025536220322287145,4.768818940430521,4.502700384847088,9.129261223969707e-05,0.00021340425155193005
K2-100 b,08:38:24,+20:06:22,21.699557451822436,0.00025190407114865875,9.573732881476772,13.736051377407392,6.712391195155763e-05,9.796115402686134e-05
TOI-561 b,09:52:44,+06:12:58,44.00713425428492,0.00024762807053274567,7.359530960636597,7.8867596034989305,5.425634960174881e-05,6.886655356571253e-05
WASP-65 b,08:53:18,+08:31:23,25.87419552204855,0.0002471012110732507,8.294911859637399,5.656957674781218,7.337906954615496e-05,0.00010995910916903413
GJ 1061 c,03:36:01,-44:30:52,22.05306649706577,0.00023531680710573599,9.747357617839725,13.460004513627062,0.00010756919329114452,0.00017434292221289754
GJ 9827 b,23:27:05,-01:17:07,88.89203624715061,0.0002326146682413536,16.16840827940493,13.732886719544709,8.917621583194471e-05,0.00023145853439611783
WASP-38 b,16:15:50,+10:01:57,23.752238809379612,0.00023112059496427053,0.6951895633051635,0.670896091796088,5.794733480817704e-05,6.945228336295572e-05
TOI-824 b,14:48:40,-57:35:20,49.185019474298265,0.00022863358420942897,11.154221307507989,13.884923231064043,7.04919850511555e-05,0.00011148392448146499
HD 40307 b,05:54:04,-60:01:25,17.458455510099885,0.0002122084018601673,7.918551421768642,14.803957149026342,0.00010645538498949857,0.00018843605054122555
TOI-544 b,05:29:10,-00:20:34,12.55823046337749,0.00020233258947752105,4.306867318158785,7.863007186586236,8.085050028543809e-05,0.00022018383956117692
Teegarden's Star b,02:53:05,+16:51:54,20.92881160344576,0.0001945365384571369,9.134243511395246,16.896404216126776,9.663572669893899e-05,0.0001587507405888711
HATS-57 b,04:03:48,-19:03:25,41.50264964667814,0.00019004008409062318,1.6793988540276743,1.600827556574508,5.004159709053545e-05,9.567339999917815e-05
HD 110082 b,12:50:21,-88:07:16,11.551314280641087,0.0001896629789906146,9.06624785224648,555.0106917253989,0.00013797810164483128,0.0003020200065989986
TOI-1836 c,16:23:38,+54:41:24,18.341482248479178,0.00018538635013768903,5.580342699244685,7.935523749627407,4.457921465251933e-05,6.285240718485394e-05
TOI-4364 b,05:20:16,-04:14:21,13.945664342810598,0.0001717178840937599,4.005682363212994,5.21965559634052,7.06722273163597e-05,0.0001392094209818189
HIP 113103 b,22:54:17,-43:00:37,13.190949152222831,0.00016757676806523875,3.7688887783248823,4.567511631449403,8.195113668861971e-05,0.00020429801192613093
GJ 1061 d,03:36:01,-44:30:52,15.320896744611833,0.00016640878057934617,6.65804969001883,9.826614011597432,7.683177030410183e-05,0.0001227020594948763
HD 1461 b,00:18:42,-08:03:13,11.45972836369251,0.00014912741648896269,5.37725781572167,11.085022960441385,7.668120349150989e-05,0.00013674532387893517
TOI-969 b,07:40:33,+02:05:55,17.31396306996627,0.00014163419821481318,3.5250001479049775,9.803849041567311,2.4173527910748997e-05,2.5230889000456503e-05
HN Lib b,14:34:16,-12:31:01,13.6126804259236,0.00014149980362064863,13.04418668713382,1235.193476529795,0.00011365663470162661,0.0003704874113369585
TOI-4201 b,06:01:54,-13:27:41,27.783643316517832,0.0001352596137677016,1.610133179593081,1.4353455414766358,3.8663017761517835e-05,0.00011076283408889567
KOI-7913 b,19:07:00,+45:09:31,31.015174146809798,0.0001345355503053563,27.443536285076817,1825.8990535341957,0.00010419034006575118,0.00032688004515779416
HD 260655 b,06:37:10,+17:33:59,33.064807744700616,0.00013387143900492015,7.192913926226026,8.155848956844181,4.238869244311469e-05,0.00010045990241009476
HATS-1 b,11:42:06,-23:21:17,10.242060536914838,0.00013258603509356818,4.856229701651831,8.857782312405284,7.347651421165809e-05,0.00015059647700624146
TOI-4551 b,12:19:55,-25:49:40,14.790747714099414,0.00013037930928190897,7.539840881538449,2.2047600691655447,4.762830472886054e-05,7.656672490352067e-05
TOI-1811 b,12:35:41,+27:12:52,12.464790385360832,0.00012847908406375512,2.6235778290627216,3.1834902759979435,4.48642628285115e-05,0.00010234161772761525
Teegarden's Star c,02:53:05,+16:51:54,12.780458591459304,0.00012567607641041139,5.614120956539928,11.252024909131567,6.365235272296755e-05,0.00010102790608537725
HD 219134 c,23:13:21,+57:10:11,32.152573669121864,0.00011743397129881209,3.927272268955953,4.234920082052966,2.448352149850954e-05,3.053178831973787e-05
TOI-1288 b,20:52:40,+65:36:32,21.89095489167047,0.00011348760343157018,4.674150838268325,6.773077324987181,3.110795376735794e-05,5.6062952074436304e-05
TOI-1408 c,20:54:03,+72:34:50,27.54064939361689,0.0001100880675441287,2.5328943721296895,2.7588813516544626,1.406365659400225e-05,1.5536582542222192e-05
