Name,RA (J2000),DEC (J2000),Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HD 17092 b,02:46:22,+49:39:11,0.8772776735018171,0.0006996190644182,0.8221605150339094,69.04994455888055,0.0005581379795027,0.0017239834486604
TOI-519 b,08:18:26,-19:39:46,2.402637040965244,0.0006852922934868,0.8069843813406747,1.1223781746063035,0.0002398937900611,0.0004042909917496
HD 4732 c,00:49:14,-24:08:13,0.3748083556925692,0.0006811843398949,0.3557759494506508,31.086306427158213,0.0005340269400913,0.001415583324215
WASP-7 b,20:44:10,-39:13:32,1.2792593287266625,0.0006790147222133,0.487580866459768,0.8804911830168864,0.0002133888698707,0.0002870827090253
WASP-2 b,20:30:54,+06:25:46,7.823101466672391,0.0006540875451657,1.8107218457885832,2.4103098077257954,0.0002493349296779,0.0005879311709578
XO-2 N b,07:48:06,+50:13:31,3.400298820833599,0.0006350612395561,0.4951228000669898,0.6130055300172361,0.0003230647237397,0.0008030790811645
WASP-136 b,00:01:18,-08:55:35,3.1915332057858903,0.0006293236113305,1.577334497904258,3.595099212045776,0.0002573867442084,0.0003920046709788
WASP-68 b,20:20:23,-19:18:53,1.8359178832474188,0.0006151987164503,0.9991382082982816,2.335398007399297,0.0003217542289441,0.0005702839506381
TOI-4860 b,12:14:15,-13:10:29,3.93276173922693,0.0006038962197184,0.8309591776174279,1.110140793957124,0.000139398058848,0.0001859111116161
HD 102329 b,11:46:47,+03:28:27,0.7912031619169888,0.0005985359656216,0.7402811246736227,54.65904902276552,0.000469083071381,0.0012919016889303
TOI-451 c,04:11:52,-37:56:23,8.901211292698392,0.0005939419151863,3.5431905321173103,5.930268381749439,0.0003274879088196,0.0010092596372207
HD 93083 b,10:44:21,-33:34:40,0.5374090056840558,0.0005912068258591,0.4749808856231279,13.148994447767915,0.000433828614768,0.0012700196781232
HD 12648 b,02:19:00,+85:44:12,0.9592568596106896,0.0005645730086945,0.8738710536276622,49.54070357222926,0.0004275468994425,0.0011013567466011
GJ 581 c,15:19:26,-07:43:22,6.147027622184214,0.000557020051741,2.963653218217166,7.811535503030417,0.0002811770435204,0.0004796737314581
TOI-2107 b,19:07:11,-58:41:49,2.3249443813758504,0.0005287761542607,0.7135675387297435,0.9195074508561834,0.0001886026246562,0.0003813002645766
HD 219828 b,23:18:47,+18:38:45,5.432535311678885,0.000525059258043,3.621129737863125,12.629276881589783,0.0003026441939783,0.0006077112186039
HD 33844 b,05:12:36,-14:57:04,0.6263183925223768,0.0005192633230261,0.5807017260028223,44.44071021050145,0.0004074960929737,0.0011855356972612
HD 60532 c,07:34:03,-22:17:45,0.6452757353781032,0.0005058178739656,0.6063984309957459,41.81585715364322,0.0003904016401605,0.0009010379881096
HD 49674 b,06:51:31,+40:52:02,2.3384824230134367,0.0005053620345764,1.4800725860577972,5.833326630131046,0.0002858937548188,0.0005057576330658
TOI-1194 b,11:11:17,+69:57:53,7.117760343398749,0.0005006093901153,1.1542807682746528,1.3471747952662971,0.0001436107813879,0.0002616639611034
TOI-1199 b,11:07:31,+61:21:09,0.5002152545268802,0.0005005434492837,0.0521439319438921,0.0894253713524699,7.391797012226844e-05,8.195785037469223e-05
WASP-49 b,06:04:22,-16:57:55,0.6184298519795863,0.0004960000347033,0.2062321808583325,0.4846243290158092,0.0002137239250147,0.0003189478698569
LSPM J2116+0234 b,21:16:28,+02:34:51,4.997150795275072,0.0004946168518483,3.277402927508714,6.9885979941936895,0.0002736672138368,0.0005751819301191
HATS-33 b,19:38:32,-55:19:49,5.45643394820714,0.0004942242749562,2.0441819498653975,3.6078827489580223,0.0001879125397121,0.000340333139191
