Name,Max. Frequency [MHz],Max. Flux Density [Jy],Max. Frequency Lower Uncertainty [MHz],Max. Frequency Upper Uncertainty [MHz],Max. Flux Density Lower Uncertainty [Jy],Max. Flux Density Upper Uncertainty [Jy]
HD 29399 b,0.3158591424813542,0.0001741336740325,0.2969989989445237,26.39280400909506,0.0001369348017456,0.0003225233982439
HIP 57274 d,0.2973669215475648,0.0001643101783017,0.2714111271784045,14.921042571765907,0.0001264467629736,0.0003196143952026
14 Her b,0.4367233513270699,0.0001506608840192,0.4178673732019901,39.46632116531424,0.0001188333399825,0.0003017916364665
HD 134987 b,0.5330296138124704,0.0001489545218412,0.4968937370615,38.0409606557339,0.0001160144961046,0.0002655705727825
HD 40979 b,0.9019665505318856,0.0001484870153169,0.8434046469343376,58.40049928843972,0.0001128976844134,0.0002600891160907
HD 116029 b,0.545254807513276,0.0001465051958341,0.5102981607362821,32.20396040607559,0.0001115525039524,0.0002887579802949
HD 33142 b,0.6368378781092436,0.000142034046136,0.5898429387794593,28.917868944678304,0.0001040941203608,0.0002373820856257
HD 142245 b,0.5086439013786738,0.0001393939951375,0.4840937787299673,33.990782461943894,0.0001075777569057,0.0002804332780793
HD 128356 b,0.3858507059219836,0.0001369743735091,0.3578639060482972,21.361962388532948,0.000105029689003,0.0002787110807678
HD 30562 b,0.3246849266962898,0.0001325399238959,0.3033551634928251,25.74353689524188,0.0001035006781195,0.0002394551509765
HD 111998 b,0.6898244299135723,0.0001272321799976,0.6492624970126695,65.45209619274948,0.000102091320389,0.0004314838879146
HD 192310 c,0.6519331642707938,0.0001266903396444,0.6230090917215293,58.24853752859316,0.0001018869481633,0.0002700235614182
16 Cyg B b,0.3814350176963476,0.0001258632411635,0.3613121731287145,25.479876731021,9.722853409662428e-05,0.0002406252273379
HD 156846 b,0.8901296972772563,0.0001243749332025,0.8324624574996867,50.28690784201055,9.467961248518152e-05,0.0002109850534096
55 Cnc d,0.2350448687575944,0.000124238416325,0.2262725808265246,23.052061836078988,9.9933812981632e-05,0.0003004192286681
HD 141937 b,0.6725730112037449,0.0001205796060631,0.6293236016569099,49.7318077985892,9.322675069681046e-05,0.0002112531267296
HD 23079 b,0.6869426283433347,0.000119981534712,0.6449712594292926,45.54266804831602,9.391956496853529e-05,0.0003129587751554
TOI-3984 A b,0.8340530884359699,0.0001151148349602,0.2545845831894393,0.4037654053627296,3.325899089257146e-05,4.6326540168823154e-05
GJ 317 c,0.2164918998396891,0.0001128490785254,0.2074442298567581,20.069075607103496,9.000506316033539e-05,0.0002349616026309
KELT-6 b,0.8912452579819441,0.0001125508732826,0.2585014127239218,0.3700791326769532,4.5174614458215576e-05,6.492438464749326e-05
HD 99109 b,0.5550464310590795,0.0001123472578091,0.4985498430681933,18.83642913189632,8.392336362368219e-05,0.0002545626967058
HD 216435 b,0.3039615688250767,0.0001079467895894,0.2830378974724307,22.729216425667243,8.360706396396736e-05,0.0001986437410021
HD 114613 b,0.1005844941765382,0.0001048421425223,0.0935303298360432,6.390864665389634,8.024690847947903e-05,0.0001860538974882
HD 50554 b,0.5454219036335767,0.0001005597401592,0.5155257645327406,49.34688425311853,7.92743207147217e-05,0.0001949177556201
HD 164922 b,0.1237132593265995,9.345400636678986e-05,0.1133693955986643,7.029439032026379,7.068716336920325e-05,0.0001489039134833
BD-210397 b,0.1689534999681285,9.33271063065114e-05,0.1567287057695324,12.415764101358803,7.371260395277373e-05,0.0001954817063539
HD 4208 b,0.343026968118774,9.237313190492926e-05,0.3172447620286416,26.946613900304826,7.28706444665816e-05,0.0001868676066777
HD 145934 b,0.3389741693450999,9.168611542317048e-05,0.3210314064743927,27.96593397002528,7.222822850439551e-05,0.0001916485683339
psi1 Dra B b,0.2589124977290983,9.116370332043116e-05,0.2453671847442927,20.93611120641911,7.070687996392972e-05,0.0001853686992539
HATS-6 b,0.6828013274063531,9.014907224459924e-05,0.2318105320219313,1.1261073676553877,2.927416273523782e-05,4.317620023592421e-05
HD 208487 b,0.5204822851330282,8.928524245417391e-05,0.4729357494323594,19.25508160769216,6.623602194390322e-05,0.0001408232894082
HD 33142 c,0.3925321299784278,8.877630809025577e-05,0.364449568198644,23.91163898059888,6.784518041825682e-05,0.0001527747464848
HD 190360 b,0.206548011478029,8.806909687878048e-05,0.1977269866065431,20.092906622651498,6.941407746191908e-05,0.0001958153230328
HAT-P-19 b,0.352816612144856,8.675518487986198e-05,0.0486658652156197,0.0559302759903737,2.1807566915810615e-05,2.566977572586576e-05
HD 169830 c,0.4478229250640144,8.566792599695787e-05,0.4234876112399178,38.91993599406761,6.729779301196653e-05,0.000163761778548
HAT-P-26 b,0.3944493995200889,8.158225248137846e-05,0.1414944845597727,0.2648327322665542,3.144792538091354e-05,4.822438834794953e-05
HD 75784 b,0.5177298026826458,8.100581447600375e-05,0.4787975859044829,30.55022636874923,6.294647671396575e-05,0.0001757510766827
HIP 14810 c,0.7091511915819534,8.029289738017047e-05,0.6460357496842584,47.105410670007394,6.121083799246377e-05,0.0001387672648484
GJ 163 d,0.7174529846512733,7.654974590152443e-05,0.6754605193657306,57.38030579879373,6.119694931771549e-05,0.0001807100917459
HD 98219 b,0.5832321909572783,7.591467084157389e-05,0.5463465316621545,43.21800193375323,6.05556897558331e-05,0.000205480179178
WASP-21 b,0.2899273929399982,7.4971379145585e-05,0.0772249917079401,0.1148842669479385,2.09464954043304e-05,2.5928325560910045e-05
WASP-117 b,0.2549055593526894,7.495307905097297e-05,0.0753923983182645,0.1535733727750619,2.256404736662822e-05,2.492418153838377e-05
HD 89307 b,0.3862396389075214,7.431055069211486e-05,0.3653012553293436,30.327401524998184,5.836871968126627e-05,0.0001397139440088
HD 1502 b,0.750811201308922,7.40068833124596e-05,0.6978709498274402,52.42832773969873,5.936018817368678e-05,0.0001745084088306
HD 140901 c,0.1595500532841063,7.30143608497207e-05,0.1537049285256692,17.80287877796271,6.068091857433037e-05,0.0002042975829212
HD 196885 A b,0.4473032671563344,6.961263991309073e-05,0.4219065446642507,35.43768535590071,5.455289354877448e-05,0.0001348437411757
WASP-83 b,0.3837903832244829,6.941270677511133e-05,0.0883552638093962,0.1680013407765123,1.670038930678951e-05,1.883720556648454e-05
HD 20782 b,0.4671193028640273,6.903703003502505e-05,0.4386656523969212,31.389001158327314,5.3570452425928464e-05,0.0001252471792976
HD 218566 b,0.4465006215352224,6.897097681662792e-05,0.4122523191980775,19.384715763843467,5.196649070593183e-05,0.0001211752279333
HD 181433 d,0.1285727212059235,6.775315544651087e-05,0.1185036011039403,8.917935145863764,5.226068682759921e-05,0.0001217113957608
HD 125612 b,0.8480613402060454,6.399525808382829e-05,0.788237956940644,52.338081285317614,4.974336405930751e-05,0.0001456172089566
HD 87883 b,0.2699723660460743,6.126720812523916e-05,0.2600046183938136,24.754051903968502,4.876895229380467e-05,0.0001382359609753
HD 155358 b,0.4462929678059348,6.005951886613166e-05,0.4110083808263761,25.692656044942037,4.57405513957529e-05,0.0001058847249158
HATS-5 b,0.4489507010992686,5.67512556396218e-05,0.0777309172534814,0.0909812958653013,1.2838568682142712e-05,1.4241425521512586e-05
HD 207832 c,0.4298340372637596,5.592087886768832e-05,0.3930595771021977,24.355125596244555,4.3058774560562255e-05,0.0001272069520364
HD 1605 b,0.3468621216858688,5.531533981239942e-05,0.3204291781766344,17.647144332226052,4.272914923904095e-05,0.0001046250378485
HD 217107 c,0.2213254310923417,5.51362539197104e-05,0.2128866250396717,21.45623913159569,4.415969270284069e-05,0.0001317174768425
HD 212771 b,0.5796860156646381,5.286317001759533e-05,0.5473449671085071,37.16457830927262,4.32359228165004e-05,0.0001582378684519
47 UMa d,0.1162527606297325,5.258148578628625e-05,0.1121442646466807,15.637487305385765,4.28754722105825e-05,0.0001234843543974
HD 95735 c,0.9146667514957372,5.166962578251404e-05,0.8944531408170011,134.46873975951732,4.319224170906696e-05,0.0001629258927322
HAT-P-18 b,0.1637668553926377,5.121924926867185e-05,0.0396611933461303,0.0571701338935325,1.1958738907346637e-05,1.3475309755969247e-05
HD 100777 b,0.4261583864698627,4.979524174331516e-05,0.3963747035050726,26.14974413783884,3.8275315239935774e-05,9.995513545259748e-05
HD 28185 b,0.6043119935946788,4.8955638438494666e-05,0.5730321043100124,48.90592071169173,3.8527479822858846e-05,9.371230547825323e-05
TOI-3785 b,0.8786490971415412,4.87437301348948e-05,0.3876856901042682,0.6203915036007387,1.7554405739716417e-05,2.867133412382621e-05
HD 148164 b,0.8086263847862545,4.715079360044341e-05,0.7483979989035553,44.317527018372566,3.621756157198239e-05,8.488653488102992e-05
HD 153950 b,0.5837696387442737,4.693498177954877e-05,0.5471071795359979,40.87545995211775,3.654793321946472e-05,8.421698750942449e-05
HD 4113 b,0.5053951441561422,4.586423850798339e-05,0.4771716656862796,35.92222053427365,3.5921866833729346e-05,8.656004327110682e-05
HD 7199 b,0.2153432487786616,4.516909089851257e-05,0.1961805586801407,10.325589153438944,3.3535154702569755e-05,6.95155633987213e-05
HD 75302 b,0.3543523191617223,4.510078014499946e-05,0.3380122807208081,31.598146140308163,3.646006243600217e-05,0.0001208218660537
TOI-2641 b,0.4379397622952464,4.49834254073231e-05,0.2572134659261978,1.7305907620130303,3.3800551409680525e-05,6.947613297865422e-05
HD 10697 b,0.3679420924792361,4.444838140443843e-05,0.3505114674796865,32.7108630855964,3.507785512511517e-05,8.763734016259726e-05
BD+15 2940 b,0.634753641412589,4.336117260561063e-05,0.5817141125062165,33.30880076766832,3.706965405398232e-05,0.0003002051309558
HD 30856 b,0.4291042629829025,4.3025233534029655e-05,0.4014618536307592,29.982510692875827,3.42465020189998e-05,0.0001164844917423
HD 159868 c,0.3538403748992255,4.004700228247712e-05,0.3284391422437824,19.14591974479838,3.025103076087484e-05,6.946850631377977e-05
HD 150706 b,0.2695229463565887,3.95797795928337e-05,0.2587718487386887,25.55932130109344,3.2032205577807227e-05,0.0001095431596291
WASP-183 b,0.7944888671575795,3.823573479540223e-05,0.4957173554574479,3.2454711529246034,3.0833388053295e-05,6.18859543054522e-05
HD 76920 b,0.5289737477890597,3.7414393687454765e-05,0.4997639298659002,38.27163948375145,2.92994412216334e-05,7.846220665628679e-05
HD 17674 b,0.2777695233597324,3.550729964749868e-05,0.2592465931039159,18.409209624041463,2.7408289849264083e-05,6.119894521057338e-05
HD 177830 c,0.913383562925868,3.50676099726987e-05,0.8381956663232747,46.05698634058904,2.739728912426469e-05,9.256009599319823e-05
HD 188015 b,0.4662986487573285,3.351512154817315e-05,0.4396004565741357,30.248245298099345,2.5546004917579584e-05,6.428507029880757e-05
HD 50499 b,0.3590958819404173,3.307248612899927e-05,0.3415065093215978,29.123561713459416,2.5971265037110476e-05,6.850315420906496e-05
HD 11506 b,0.4960272833933915,3.2623184038434844e-05,0.4690178770430602,35.84700784693814,2.5473080655334423e-05,6.378112051161663e-05
HIP 14810 d,0.2134049748167145,3.118920312861083e-05,0.1970773834272096,12.67514959099652,2.392364955547626e-05,5.593806744627203e-05
HD 44219 b,0.2247780371693715,3.104250848429215e-05,0.2058941671767225,11.536537253208015,2.3016459180923453e-05,5.198852763901308e-05
HD 114729 b,0.1994547697420483,3.011727646379638e-05,0.1879560880623388,12.42853056781226,2.3317412880863603e-05,5.667629162883351e-05
HD 147018 c,0.4429646390263148,2.981632567764595e-05,0.4230453498235585,34.233638994937685,2.3704793176251545e-05,6.76212901832557e-05
HD 205739 b,0.7785127695986952,2.951140919426796e-05,0.7193855179586961,36.7417473826732,2.1880195363270185e-05,5.415933509771673e-05
HD 12661 c,0.2862640210439706,2.896084002782834e-05,0.2722334142084158,23.0876978698356,2.3040390159417045e-05,5.515648073476859e-05
HD 154857 b,0.5680950225282271,2.8876372219201864e-05,0.538349205307952,35.92446447917546,2.2016288097004688e-05,5.588062471286797e-05
HD 142022 A b,0.3227658486491248,2.7360757258254016e-05,0.309036792818917,25.60348611396926,2.1770930102995477e-05,6.602818938047532e-05
HD 86264 b,0.5045229104135491,2.67680260256364e-05,0.4778820876489609,45.92236586877988,2.120526929758324e-05,5.2748793911324936e-05
HD 134987 c,0.1148258036902509,2.648173924183782e-05,0.1096742520521311,10.10798985138254,2.090336048584993e-05,5.6852917605715726e-05
HD 108874 b,0.4426628105091029,2.5472653411393368e-05,0.4156345924224805,30.743327960251715,1.987910646060573e-05,4.841318819115782e-05
HD 16175 b,0.5434505278525539,2.529346959672222e-05,0.5153392501067442,46.27216053410694,1.9899069033630812e-05,4.8956278480128006e-05
HD 75898 b,0.6537302634923746,2.527536160402823e-05,0.6110065779982725,46.93866001642357,1.93757450705082e-05,4.531642868251026e-05
HD 142 c,0.244225093143594,2.500526154663384e-05,0.2364501512858078,25.151648817494635,1.995783631879076e-05,5.7072380287651296e-05
HD 222582 b,0.4540139701743368,2.4987423159834413e-05,0.4318521461787968,37.81660415240193,1.9661787911758543e-05,5.120923656109565e-05
HD 103891 b,0.3663460693619624,2.4915275359100336e-05,0.3502520459079872,28.498167071915518,1.9473684651630045e-05,4.923654612682977e-05
